"depths","durations","times","stages"
1,1.11533511015796,0,1
2,8.64684460684657,1.11533511015796,1
3,12.1892387035098,9.76217971700453,1
4,26.3869532165349,21.9514184205143,1
5,70.0217428273131,48.3383716370492,1
6,31.4078189059004,118.360114464362,1
7,9.78434133089397,149.767933370263,1
8,53.5647513114585,159.552274701157,1
9,0.477280389012293,213.117026012615,1
8,79.6671648798028,213.594306401627,1
9,128.569082456783,293.26147128143,1
10,13.4383220900781,421.830553738213,1
11,170.717455851306,435.268875828291,1
12,10.2252217791516,605.986331679597,1
13,108.893879639217,616.211553458749,1
14,6.20518398435718,725.105433097966,1
14,677.022491237362,731.310617082323,2
15,218.264133925853,1408.33310831969,2
15,40.8901466972504,1626.59724224554,3
14,122.592895471079,1667.48738894279,3
13,2.20907464528136,1790.08028441387,3
12,38.4765325991127,1792.28935905915,3
11,86.7845331438889,1830.76589165826,3
10,49.9143815122079,1917.55042480215,3
9,138.471255467932,1967.46480631436,3
8,16.258299281551,2105.93606178229,3
7,1.77577712262655,2122.19436106384,3
6,6.69890174021339,2123.97013818647,3
5,0.9196689430878,2130.66903992668,3
6,29.9494173767425,2131.58870886977,3
5,14.7536833956838,2161.53812624651,3
4,10.6652172301742,2176.2918096422,3
3,2.51385368809451,2186.95702687237,3
2,66.485708352543,2189.47088056046,3
1,Inf,2255.95658891301,3
