"depths","times","stages"
1,0,1
1,30,1
4,60,1
3,90,1
4,120,1
6,150,1
9,180,1
9,210,1
9,240,1
10,270,1
10,300,1
11,330,1
12,360,1
12,390,1
12,420,1
12,450,1
12,480,1
13,510,1
14,540,1
14,570,2
14,600,2
14,630,2
14,660,2
14,690,2
14,720,2
14,750,2
14,780,2
14,810,2
14,840,2
14,870,2
14,900,2
14,930,2
14,960,2
14,990,2
14,1020,2
14,1050,2
14,1080,2
14,1110,2
14,1140,2
14,1170,2
14,1200,2
14,1230,2
14,1260,2
13,1290,2
13,1320,2
13,1350,3
13,1380,3
13,1410,3
13,1440,3
13,1470,3
13,1500,3
13,1530,3
13,1560,3
13,1590,3
13,1620,3
13,1650,3
13,1680,3
12,1710,3
11,1740,3
10,1770,3
10,1800,3
10,1830,3
8,1860,3
7,1890,3
6,1920,3
6,1950,3
5,1980,3
3,2010,3
3,2040,3
1,2070,3
