"depths","times","stages"
1,0,1
2,60,1
3,120,1
4,180,1
9,240,1
9,300,1
9,360,1
10,420,1
10,480,1
10,540,1
12,600,1
13,660,1
14,720,1
14,780,2
14,840,2
14,900,2
14,960,2
14,1020,2
15,1080,2
15,1140,2
15,1200,2
15,1260,2
15,1320,2
15,1380,2
15,1440,2
15,1500,2
15,1560,2
15,1620,2
14,1680,2
14,1740,3
14,1800,3
14,1860,3
14,1920,3
14,1980,3
15,2040,3
15,2100,3
15,2160,3
15,2220,3
15,2280,3
14,2340,3
14,2400,3
14,2460,3
14,2520,3
14,2580,3
14,2640,3
14,2700,3
14,2760,3
14,2820,3
14,2880,3
14,2940,3
13,3000,3
13,3060,3
14,3120,3
14,3180,3
14,3240,3
14,3300,3
14,3360,3
13,3420,3
13,3480,3
13,3540,3
13,3600,3
13,3660,3
13,3720,3
13,3780,3
13,3840,3
13,3900,3
13,3960,3
12,4020,3
12,4080,3
12,4140,3
12,4200,3
12,4260,3
12,4320,3
12,4380,3
11,4440,3
11,4500,3
10,4560,3
10,4620,3
8,4680,3
8,4740,3
6,4800,3
4,4860,3
4,4920,3
4,4980,3
1,5040,3
