"depths","times","stages"
1,0,1
2,60,1
5,120,1
6,180,1
8,240,1
10,300,1
11,360,1
12,420,1
12,480,1
14,540,1
14,600,1
14,660,2
14,720,2
14,780,2
14,840,2
14,900,2
14,960,2
14,1020,2
14,1080,2
14,1140,2
14,1200,2
14,1260,2
14,1320,2
14,1380,2
14,1440,2
14,1500,2
14,1560,2
14,1620,2
14,1680,2
15,1740,3
15,1800,3
15,1860,3
15,1920,3
14,1980,3
14,2040,3
13,2100,3
13,2160,3
13,2220,3
13,2280,3
13,2340,3
13,2400,3
13,2460,3
13,2520,3
13,2580,3
13,2640,3
13,2700,3
13,2760,3
12,2820,3
11,2880,3
11,2940,3
11,3000,3
11,3060,3
11,3120,3
11,3180,3
10,3240,3
10,3300,3
10,3360,3
10,3420,3
10,3480,3
10,3540,3
10,3600,3
10,3660,3
9,3720,3
9,3780,3
9,3840,3
9,3900,3
9,3960,3
8,4020,3
8,4080,3
8,4140,3
7,4200,3
6,4260,3
5,4320,3
5,4380,3
5,4440,3
4,4500,3
2,4560,3
2,4620,3
2,4680,3
1,4740,3
