"depths","durations","times","stages"
1,9.45337735644231,0,1
2,5.98493120074272,9.45337735644231,1
3,27.0687173093948,15.438308557185,1
4,35.4614466696265,42.5070258665798,1
5,16.5322207208084,77.9684725362063,1
6,18.3100276272744,94.5006932570148,1
7,35.9651335190638,112.810720884289,1
8,203.827340889696,148.775854403353,1
9,51.6974174938638,352.603195293049,1
10,6.81575375888497,404.300612786912,1
11,8.30741102006806,411.116366545797,1
10,125.522468922702,419.423777565865,1
11,60.5767888920316,544.946246488568,1
12,28.748403694241,605.523035380599,1
12,186.235621719363,634.27143907484,2
13,323.751572878788,820.507060794204,2
12,451.703075625332,1144.25863367299,2
12,118.132131764349,1595.96170929832,3
11,34.2346666419442,1714.09384106267,3
10,115.527239178231,1748.32850770462,3
9,98.0907763268619,1863.85574688285,3
8,5.08766632104721,1961.94652320971,3
7,215.818169981915,1967.03418953076,3
6,46.6155077211906,2182.85235951267,3
5,47.9154860389358,2229.46786723386,3
4,1.08527125031696,2277.3833532728,3
3,11.3681525565335,2278.46862452312,3
2,1.81167264003307,2289.83677707965,3
1,Inf,2291.64844971968,3
