"depths","durations","times","stages"
1,47.0839886428347,0,1
2,18.9079139374926,47.0839886428347,1
3,2.49237917220391,65.9919025803273,1
4,40.459588136907,68.4842817525312,1
5,47.7284480799836,108.943869889438,1
6,49.8480611059007,156.672317969422,1
7,18.9190486601243,206.520379075322,1
8,79.3816195732941,225.439427735447,1
9,59.4971276524168,304.821047308741,1
10,9.26312060604266,364.318174961158,1
11,72.6582319679025,373.5812955672,1
12,141.656327708753,446.239527535103,1
13,29.4640572369099,587.895855243856,1
14,35.7201058319082,617.359912480766,1
14,522.46153667459,653.080018312674,2
15,153.809443122397,1175.54155498726,2
16,302.630567768861,1329.35099810966,2
16,2.80946145582652,1631.98156587852,3
15,86.1092112143806,1634.79102733435,3
14,581.33502517036,1720.90023854873,3
13,26.7564337695862,2302.23526371909,3
12,77.1845241280971,2328.99169748868,3
13,373.635885202209,2406.17622161677,3
14,154.570549798664,2779.81210681898,3
13,690.559188124022,2934.38265661764,3
12,477.176459790783,3624.94184474167,3
11,358.46661975281,4102.11830453245,3
10,46.9231673958711,4460.58492428526,3
9,136.797121948149,4507.50809168113,3
8,32.0227806514595,4644.30521362928,3
7,116.355821252206,4676.32799428074,3
6,31.705450041336,4792.68381553295,3
5,161.947904631385,4824.38926557428,3
4,88.9346874266503,4986.33717020567,3
3,4.46922229334268,5075.27185763232,3
2,47.1815734703969,5079.74107992566,3
1,Inf,5126.92265339606,3
