"depths","durations","times","stages"
1,7.30499271348991,0,1
2,6.77144639806133,7.30499271348991,1
3,6.11013690743745,14.0764391115512,1
4,6.99746813629711,20.1865760189887,1
5,5.23799756898977,27.1840441552858,1
6,85.4771455915447,32.4220417242756,1
7,4.91218245575611,117.89918731582,1
8,2.73125268545175,122.811369771576,1
9,124.982309881863,125.542622457028,1
10,18.6760739118068,250.524932338892,1
11,101.722582702698,269.201006250698,1
12,135.35175519666,370.923588953397,1
13,79.8987555853516,506.275344150056,1
14,60.4153546078082,586.174099735408,1
15,112.988085896606,646.589454343216,1
16,71.1799369719727,759.577540239822,1
15,217.079604586841,830.757477211795,1
15,438.274109761381,1047.83708179864,2
16,289.131084020286,1486.11119156002,2
15,1194.87065534796,1775.2422755803,2
15,39.7721199862754,2970.11293092827,3
14,399.056590894771,3009.88505091454,3
13,1200.57229916743,3408.94164180931,3
12,68.458880852977,4609.51394097675,3
11,85.7894916834493,4677.97282182972,3
10,259.055176036677,4763.76231351317,3
9,172.891619625208,5022.81748954985,3
8,136.438919692422,5195.70910917506,3
7,5.7173971197044,5332.14802886748,3
8,268.537955651342,5337.86542598719,3
7,48.9369933108501,5606.40338163853,3
6,26.8129058008335,5655.34037494938,3
5,31.4644217974437,5682.15328075021,3
4,32.3346027456555,5713.61770254765,3
3,3.98549873409502,5745.95230529331,3
2,14.2805294619211,5749.93780402741,3
1,Inf,5764.21833348933,3
